id;adm_lb_nom;sup_id;emr_lb_systeme;emr_dt;sta_nm_dpt;code_insee;generation;date_maj;sta_nm_anfr;nat_id;sup_nm_haut;tpo_id;adr_lb_lieu;adr_lb_add1;adr_lb_add2;adr_lb_add3;adr_nm_cp;com_cd_insee;coordonnees;coord;statut
100267;BOUYGUES TELECOM;1632885;LTE 2100;21/07/2021;02A;2A004;4G;2025-10-02T15:15:22;02A2750148;23;18;72.0;Porcelone;CHEM DE RANOCHIETTO;PÉPINIÈRE DU BOIS FLEURI;;20000;2A004;41.952222222222225 , 8.768611111111111;41°57'8''N 8°46'7''E;En service
345809;FREE MOBILE;2332574;UMTS 900;17/04/2023;59;59534;3G;2025-10-02T15:15:22;590990601;23;37;42.0;;LA QUEUE NOIR JEAN;;;59440;59534;50.165 , 3.8833333333333333;50°9'54''N 3°53'0''E;En service
732026;SFR;1638334;LTE 800;17/02/2016;31;31020;4G;2025-10-02T15:15:22;312700097;23;20;72.0;Pale;Bellevue;;;31160;31020;43.01138888888889 , 0.8116666666666668;43°0'41''N 0°48'42''E;En service
456099;ORANGE;545748;UMTS 900;06/08/2013;2;2168;3G;2025-10-02T15:15:22;22290207;23;21;74.0;;105 Av de Soissons;Centre France Telecom;;2400;2168;49.052499999999995 , 3.3980555555555556;49°3'9''N 3°23'53''E;En service
642901;SFR;467166;LTE 1800;02/10/2017;6;6088;4G;2025-10-02T15:15:22;62700424;17;11;22.0;;266 av de pessicart;;;6000;6088;43.7175 , 7.2475000000000005;43°43'3''N 7°14'51''E;En service
177598;BOUYGUES TELECOM;2813906;LTE 2100;07/09/2023;59;59367;4G;2025-10-02T15:15:22;592751477;38;18,6;68.0;;31-45, R DES ÉCOLES;;;59390;59367;50.6725 , 3.209166666666667;50°40'21''N 3°12'33''E;En service
824527;SRR;412560;LTE 800;15/03/2021;976;97611;4G;2025-10-02T15:15:22;9763700042;11;12;31.0;DOUJANI;14 r koua koua bonovo;;;97600;97611;-12.79 , 45.21888888888889;12°47'24''S 45°13'8''E;En service
202440;BOUYGUES TELECOM;3092306;LTE 700;;4;4155;4G;2025-10-02T15:15:22;42750327;23;18,8;68.0;CHANOLLES;CHEL DE POMPE;PRES DE MAURIN;;4420;4155;44.150277777777774 , 6.414722222222222;44°9'1''N 6°24'53''E;Projet approuvé
405229;FREE MOBILE;3043725;5G NR 3500;;77;77131;5G;2025-10-02T15:15:22;770990572;23;19,5;42.0;SAINT PIERRE EN VEUVE;29 rue de l Orgeval;;;77120;77131;48.80222222222222 , 3.095277777777778;48°48'8''N 3°5'43''E;Projet approuvé
284154;FREE MOBILE;1518250;LTE 700;03/06/2019;95;95127;4G;2025-10-02T15:15:22;950990079;38;25,6;9.0;;rue du Lendemain;;;95000;95127;49.04888888888889 , 2.0125;49°2'56''N 2°0'45''E;En service
442218;ORANGE;484653;UMTS 900;05/12/2019;49;49328;3G;2025-10-02T15:15:22;492290109;23;37;24.0;;2b av david d'angers;gare SNCF;;49400;49328;47.26916666666666 , -0.07305555555555555;47°16'9''N 0°4'23''W;En service
